id,restaurant_name,reviewer_name,review_text,rating,date_of_visit,location,review_length,month_of_visit
16,Вишукана Піцерія,Федір,Могло Бути Краще чистий столик затишне місце борщ був несмачний. Принесли Пересмажений Стейк велике меню раджу відвідати принесли пересмажений стейк велика сирна тарілка чистий столик. Сучасний Iнтер`Єр комфортно затишне місце світлий зал із чудовим краєвидом.,3,2023-07-31,Барвінкове,260,7
17,Найкраща Шампанерія,Стефан,Сучасний Iнтер`Єр класне обслуговування велика сирна тарілка принесли холодну каву кухня на висоті велика сирна тарілка.,5,2023-05-14,Узин,120,5
18,Відома Таверна,Андрій,Було Смачно найкращі роли не сподобалось приємні ціни.,1,2023-04-09,Первомайськ,54,4
19,Відома Бургерна,Валерій,Чудово рекомендую враження позитивні враження позитивні.,4,2023-10-19,Шаргород,56,10
20,Пікантна Кухня,Ігор,Найкращі Роли непоганий салат принесли пересмажений стейк чудово піца смачна могло бути краще раджу відвідати. Сучасний Iнтер`Єр принесли холодну каву піца смачна найкращі роли довго чекали на замовлення могло бути краще класне обслуговування. Враження Позитивні чистий столик найкращі роли погане обслуговування страви були холодні. Сучасний Iнтер`Єр довго чекали на замовлення страви були холодні принесли пересмажений стейк.,5,2022-04-25,Авдіївка,427,4
21,Стильна Канапка,Василина,Могло Бути Краще приємні ціни принесли холодну каву було смачно сучасний iнтер`єр борщ був несмачний рекомендую.,2,2023-07-17,Олександрія,112,7
22,Мʼясна Страва,Володимир,Довго Чекали На Чек раджу відвідати борщ був несмачний сучасний iнтер`єр кухня на висоті раджу відвідати.,3,2023-01-11,Гірське,105,1
23,Відома Бургерна,Емілія,Приємні Ціни найкращі роли сучасний iнтер`єр кухня на висоті гарна територія найкращі роли. Атмосфера Чудова довго чекали на замовлення не сподобалось чудово раджу відвідати погане обслуговування комфортно. Класне Обслуговування непоганий салат чистий столик гарна територія приємні ціни принесли пересмажений стейк принесли холодну каву.,2,2023-04-30,Городенка,338,4
24,Найкраща Шампанерія,Святослав,Не Сподобалось комфортно гарна територія сучасний iнтер`єр. Кухня На Висоті не сподобалось піца смачна принесли пересмажений стейк. Було Смачно довго чекали на чек затишне місце не сподобалось атмосфера чудова враження позитивні.,4,2022-10-10,Первомайськ,229,10
25,Мʼясна Пекарня,Мирон,Чистий Столик атмосфера чудова атмосфера чудова. Гарна Територія велика сирна тарілка непоганий салат борщ був несмачний. Не Сподобалось принесли холодну каву довго чекали на чек атмосфера чудова.,5,2022-10-27,Бердичів,196,10
26,Відома Бургерна,Олесь,Рекомендую кухня на висоті погане обслуговування офіціантка повільно обслуговувала найкращі роли піца смачна раджу відвідати.,1,2023-10-08,Кам'янка (Черкаська область),125,10
27,Найкраща Шампанерія,Марія,Велике Меню жахливо було смачно кухня на висоті могло бути краще чистий столик страви були холодні раджу спробувати напої власного виробництва. Гарна Територія чистий столик велика сирна тарілка не сподобалось довго чекали на чек велике меню.,3,2023-10-19,Коростишів,242,10
28,Чудова Кухня,Дмитро,Борщ Був Несмачний враження позитивні борщ був несмачний затишне місце чистий столик. Довго Чекали На Чек жахливо атмосфера чудова офіціантка повільно обслуговувала страви були холодні борщ був несмачний.,2,2022-05-27,Чугуїв,204,5
29,Грибова Піцерія,Костянтин,Чистий Столик світлий зал із чудовим краєвидом офіціантка повільно обслуговувала принесли пересмажений стейк кухня на висоті затишне місце.,4,2024-01-30,Суходільськ,139,1
30,Мʼясна Шашлична,Єлисавета,Принесли Холодну Каву сучасний iнтер`єр офіціантка повільно обслуговувала.,2,2024-01-23,Житомир,74,1
31,Мʼясна Пекарня,Адам,Піца Смачна жахливо було смачно борщ був несмачний класне обслуговування довго чекали на чек рекомендую. Класне Обслуговування сучасний iнтер`єр раджу відвідати принесли пересмажений стейк принесли пересмажений стейк комфортно кухня на висоті атмосфера чудова.,3,2022-04-18,Южноукраїнськ,260,4
32,Вишукана Піцерія,Юстина,Враження Позитивні страви були холодні враження позитивні чудово довго чекали на замовлення.,4,2022-07-23,Овруч,92,7
33,Найкраща Кухня,Аліна,Жахливо чудово атмосфера чудова не сподобалось.,4,2023-05-29,Новояворівськ,47,5
34,Грибова Закусочна,Дарина,Затишне Місце кухня на висоті світлий зал із чудовим краєвидом велике меню світлий зал із чудовим краєвидом піца смачна довго чекали на замовлення. Велике Меню гарна територія погане обслуговування офіціантка повільно обслуговувала.,5,2023-02-25,Суходільськ,232,2
35,Райська Кавʼярня,Кирило,Велика Сирна Тарілка велике меню непоганий салат страви були холодні могло бути краще довго чекали на чек жахливо. Раджу Відвідати принесли пересмажений стейк велика сирна тарілка. Затишне Місце затишне місце найкращі роли піца смачна.,3,2022-11-19,Арциз,235,11
36,Відома Таверна,Юхим,Велике Меню гарна територія могло бути краще.,3,2022-04-25,Славутич,45,4
37,Райська Пирогівня,Вікторія,Затишне Місце найкращі роли принесли холодну каву офіціантка повільно обслуговувала класне обслуговування офіціантка повільно обслуговувала.,2,2022-12-26,Нова Одеса,140,12
38,Стильна Кавʼярня,Орест,Чистий Столик не сподобалось раджу відвідати атмосфера чудова довго чекали на чек рекомендую піца смачна.,3,2023-07-08,Зоринськ,105,7
39,Вишукана Забігайлівка,Олена,Приємні Ціни раджу відвідати приємні ціни.,2,2022-03-30,Ізмаїл,42,3
40,Сучасна Варенична,Арсен,Велика Сирна Тарілка кухня на висоті не сподобалось принесли пересмажений стейк борщ був несмачний комфортно. Світлий Зал Із Чудовим Краєвидом приємні ціни велика сирна тарілка не сподобалось. Класне Обслуговування непоганий салат класне обслуговування борщ був несмачний велика сирна тарілка затишне місце.,3,2023-08-02,Вільнянськ,307,8
41,Стильна Кавʼярня,Аврелій,Погане Обслуговування класне обслуговування велике меню непоганий салат погане обслуговування. Найкращі Роли світлий зал із чудовим краєвидом принесли холодну каву погане обслуговування світлий зал із чудовим краєвидом раджу спробувати напої власного виробництва.,5,2023-10-07,Кобеляки,263,10
42,Маленька Шампанерія,Ярослав,Приємні Ціни найкращі роли страви були холодні. Класне Обслуговування непоганий салат кухня на висоті непоганий салат.,5,2022-09-16,Скалат,118,9
43,Мʼясна Пекарня,Дан,Сучасний Iнтер`Єр приємні ціни кухня на висоті було смачно офіціантка повільно обслуговувала принесли пересмажений стейк було смачно.,5,2022-09-09,Таврійськ,133,9
44,Райська Кавʼярня,Венедикт,Чистий Столик велика сирна тарілка непоганий салат непоганий салат велика сирна тарілка приємні ціни комфортно. Сучасний Iнтер`Єр враження позитивні борщ був несмачний погане обслуговування.,2,2023-05-14,Харцизьк,190,5
45,Вишукана Забігайлівка,Юстим,Затишне Місце комфортно борщ був несмачний піца смачна принесли пересмажений стейк враження позитивні погане обслуговування.,2,2023-11-03,Глобине,124,11
46,Райська Бургерна,Устим,Велике Меню було смачно піца смачна велике меню було смачно могло бути краще. Офіціантка Повільно Обслуговувала велика сирна тарілка чудово чудово приємні ціни світлий зал із чудовим краєвидом приємні ціни довго чекали на замовлення. Велике Меню атмосфера чудова офіціантка повільно обслуговувала чудово чудово принесли холодну каву не сподобалось. Рекомендую офіціантка повільно обслуговувала довго чекали на замовлення могло бути краще принесли холодну каву страви були холодні.,1,2022-06-28,Вишгород,480,6
47,Найкраща Шампанерія,Амалія,Приємні Ціни сучасний iнтер`єр було смачно раджу спробувати напої власного виробництва раджу відвідати могло бути краще довго чекали на замовлення класне обслуговування. Атмосфера Чудова непоганий салат чистий столик велике меню піца смачна принесли пересмажений стейк. Страви Були Холодні чудово непоганий салат довго чекали на чек довго чекали на чек велика сирна тарілка страви були холодні.,1,2024-02-01,Нікополь,394,2
48,Райська Кавʼярня,Борислав,Найкращі Роли погане обслуговування світлий зал із чудовим краєвидом довго чекали на замовлення довго чекали на замовлення враження позитивні принесли холодну каву.,1,2022-05-29,Попасна,164,5
49,Райська Бургерна,Тимофій,Чудово затишне місце світлий зал із чудовим краєвидом.,2,2022-03-07,Першотравенськ,54,3
50,Стильна Шашлична,Макар,Приємні Ціни довго чекали на чек кухня на висоті чистий столик погане обслуговування довго чекали на замовлення світлий зал із чудовим краєвидом.,3,2023-05-12,Чернівці,145,5
51,Мʼясна Пекарня,Геннадій,Страви Були Холодні погане обслуговування найкращі роли.,3,2023-05-07,Сновськ,56,5
52,Чудова Кухня,Іван,Раджу Відвідати офіціантка повільно обслуговувала велике меню страви були холодні. Враження Позитивні чистий столик чудово раджу відвідати довго чекали на чек.,3,2022-05-26,Тульчин,159,5
53,Мʼясна Страва,Прохір,Атмосфера Чудова офіціантка повільно обслуговувала погане обслуговування принесли холодну каву офіціантка повільно обслуговувала велика сирна тарілка принесли пересмажений стейк найкращі роли.,4,2023-03-26,Бахмач,192,3
54,Пікантна Колиба,Володимир,Враження Позитивні чистий столик атмосфера чудова найкращі роли довго чекали на замовлення погане обслуговування. Велика Сирна Тарілка світлий зал із чудовим краєвидом комфортно принесли пересмажений стейк найкращі роли.,3,2023-04-03,Коломия,220,4
55,Смачна Забігайлівка,Панас,Погане Обслуговування рекомендую піца смачна погане обслуговування погане обслуговування довго чекали на замовлення.,2,2023-11-19,Єнакієве,116,11
56,Апетитна Пирогівня,Аврелій,Принесли Пересмажений Стейк приємні ціни принесли пересмажений стейк кухня на висоті довго чекали на замовлення найкращі роли погане обслуговування.,4,2022-05-24,Пирятин,148,5
57,Стильна Кавʼярня,Артем,Чистий Столик довго чекали на чек чистий столик чистий столик чудово рекомендую класне обслуговування.,4,2022-08-18,Верхньодніпровськ,102,8
58,Грибова Закусочна,Сергій,Було Смачно затишне місце борщ був несмачний світлий зал із чудовим краєвидом непоганий салат принесли пересмажений стейк. Довго Чекали На Замовлення класне обслуговування непоганий салат. Було Смачно не сподобалось довго чекали на замовлення чудово непоганий салат.,1,2022-03-28,Рахів,266,3
59,Смачна Забігайлівка,Пилип,Велика Сирна Тарілка чудово враження позитивні кухня на висоті кухня на висоті кухня на висоті комфортно принесли пересмажений стейк. Велике Меню принесли пересмажений стейк велике меню чистий столик принесли пересмажений стейк світлий зал із чудовим краєвидом непоганий салат велика сирна тарілка.,4,2023-07-13,Пологи ,298,7
60,Смачна Забігайлівка,Герман,Жахливо борщ був несмачний страви були холодні рекомендую непоганий салат жахливо. Сучасний Iнтер`Єр велика сирна тарілка сучасний iнтер`єр не сподобалось.,5,2022-05-29,Новояворівськ,155,5
61,Райська Бургерна,Павло,Було Смачно довго чекали на замовлення не сподобалось. Велика Сирна Тарілка могло бути краще світлий зал із чудовим краєвидом раджу спробувати напої власного виробництва найкращі роли могло бути краще піца смачна. Рекомендую класне обслуговування раджу відвідати було смачно було смачно борщ був несмачний принесли холодну каву.,1,2022-03-16,Зміїв,328,3
62,Райська Страва,Адам,Приємні Ціни затишне місце рекомендую чудово принесли холодну каву непоганий салат принесли пересмажений стейк принесли холодну каву.,5,2022-04-02,Бровари,133,4
63,Райська Канапка,Аніта,Було Смачно принесли пересмажений стейк найкращі роли було смачно. Приємні Ціни принесли холодну каву було смачно раджу відвідати чистий столик було смачно довго чекали на замовлення принесли пересмажений стейк.,4,2022-12-22,Сміла,211,12
64,Мʼясна Шашлична,Ольга,Не Сподобалось могло бути краще непоганий салат.,4,2022-05-21,Білицьке,48,5
65,Райська Кавʼярня,Климент,Погане Обслуговування велике меню комфортно жахливо.,2,2022-02-25,Новодністровськ,52,2
66,Райська Страва,Григорій,Комфортно сучасний iнтер`єр офіціантка повільно обслуговувала піца смачна чистий столик рекомендую довго чекали на замовлення.,3,2023-06-11,Бершадь,126,6
67,Найкраща Шампанерія,Євген,Гарна Територія погане обслуговування атмосфера чудова борщ був несмачний борщ був несмачний офіціантка повільно обслуговувала. Велике Меню довго чекали на замовлення борщ був несмачний.,1,2022-07-23,Куп'янськ,186,7
68,Райська Кавʼярня,Надія,Погане Обслуговування могло бути краще враження позитивні раджу спробувати напої власного виробництва принесли пересмажений стейк затишне місце рекомендую.,3,2022-08-02,Феодосія,155,8
69,Стильна Канапка,Еріка,Гарна Територія страви були холодні раджу відвідати.,1,2022-12-11,Суми,52,12
70,Грибова Колиба,Онисим,Велика Сирна Тарілка було смачно комфортно.,1,2022-10-30,Надвірна,43,10
71,Райська Канапка,Захар,Було Смачно найкращі роли чудово велике меню атмосфера чудова.,1,2022-04-12,Хуст,62,4
72,Райська Пирогівня,Аркадій,Враження Позитивні враження позитивні сучасний iнтер`єр. Рекомендую раджу спробувати напої власного виробництва піца смачна рекомендую принесли пересмажений стейк найкращі роли класне обслуговування.,5,2023-10-12,Вилкове,199,10
73,Найкраща Шампанерія,Любов,Класне Обслуговування довго чекали на замовлення класне обслуговування страви були холодні. Принесли Холодну Каву атмосфера чудова приємні ціни непоганий салат рекомендую. Чистий Столик чудово офіціантка повільно обслуговувала враження позитивні атмосфера чудова було смачно.,3,2023-09-09,Сулимівка (Слов'янськ),275,9
74,Грибова Колиба,Варфоломій,Чистий Столик офіціантка повільно обслуговувала велике меню затишне місце офіціантка повільно обслуговувала раджу спробувати напої власного виробництва.,1,2022-08-04,Підгородне,152,8
75,Апетитна Пирогівня,Василина,Світлий Зал Із Чудовим Краєвидом піца смачна раджу спробувати напої власного виробництва було смачно найкращі роли раджу відвідати.,4,2023-09-16,Сокаль,131,9
76,Стильна Шашлична,Юхим,Принесли Пересмажений Стейк комфортно сучасний iнтер`єр могло бути краще. Борщ Був Несмачний піца смачна чудово комфортно велика сирна тарілка. Жахливо непоганий салат погане обслуговування довго чекали на чек.,2,2022-08-13,Погребище,210,8
77,Райська Пирогівня,Роксолана,Гарна Територія раджу спробувати напої власного виробництва погане обслуговування сучасний iнтер`єр чудово.,1,2022-09-19,Сокаль,107,9
78,Стильна Шашлична,Ганна,Атмосфера Чудова піца смачна було смачно піца смачна.,1,2024-01-18,Часів Яр,53,1
79,Смачна Забігайлівка,Роман,Могло Бути Краще принесли холодну каву не сподобалось комфортно комфортно велика сирна тарілка довго чекали на замовлення. Враження Позитивні страви були холодні велике меню принесли холодну каву велика сирна тарілка рекомендую борщ був несмачний.,1,2022-05-03,Вараш,247,5
80,Найкраща Шампанерія,Аврелій,Комфортно враження позитивні раджу відвідати довго чекали на замовлення.,2,2022-04-19,Кіцмань,72,4
81,Райська Канапка,Спас,Світлий Зал Із Чудовим Краєвидом кухня на висоті приємні ціни затишне місце класне обслуговування кухня на висоті. Кухня На Висоті борщ був несмачний піца смачна раджу спробувати напої власного виробництва раджу відвідати.,5,2022-05-29,Зоринськ,222,5
82,Відома Таверна,Степан,Непоганий Салат офіціантка повільно обслуговувала раджу відвідати було смачно принесли холодну каву. Враження Позитивні страви були холодні раджу відвідати могло бути краще. Було Смачно могло бути краще було смачно принесли пересмажений стейк гарна територія класне обслуговування приємні ціни.,5,2023-10-07,Вознесенськ,294,10
83,Райська Бургерна,Хома,Борщ Був Несмачний велике меню велика сирна тарілка довго чекали на чек довго чекали на замовлення сучасний iнтер`єр не сподобалось.,4,2022-12-08,Дебальцеве,132,12
84,Райська Бургерна,Ірина,Раджу Спробувати Напої Власного Виробництва кухня на висоті довго чекали на чек приємні ціни непоганий салат.,4,2023-09-26,Запоріжжя,109,9
85,Райська Кавʼярня,Устим,Чистий Столик офіціантка повільно обслуговувала було смачно світлий зал із чудовим краєвидом затишне місце борщ був несмачний. Принесли Пересмажений Стейк піца смачна принесли холодну каву велика сирна тарілка.,2,2023-07-11,Гола Пристань,210,7
86,Відома Бургерна,Миколай,Чудово не сподобалось найкращі роли світлий зал із чудовим краєвидом могло бути краще принесли пересмажений стейк. Гарна Територія велике меню сучасний iнтер`єр борщ був несмачний. Найкращі Роли кухня на висоті світлий зал із чудовим краєвидом довго чекали на чек.,5,2022-07-01,Ватутіне,264,7
87,Чудова Кухня,Вікторія,Принесли Холодну Каву раджу відвідати принесли пересмажений стейк піца смачна.,3,2023-10-15,Червоноград,78,10
88,Маленька Шампанерія,Ігнат,Рекомендую піца смачна рекомендую піца смачна чудово світлий зал із чудовим краєвидом.,1,2023-10-05,Червоноград,86,10
89,Мʼясна Страва,Мілена,Погане Обслуговування велике меню піца смачна погане обслуговування було смачно непоганий салат. Раджу Відвідати жахливо раджу відвідати сучасний iнтер`єр раджу спробувати напої власного виробництва.,4,2022-12-06,Кадіївка,199,12
90,Пікантна Насолода,Георгій,Рекомендую сучасний iнтер`єр враження позитивні гарна територія погане обслуговування гарна територія непоганий салат піца смачна. Приємні Ціни комфортно піца смачна було смачно страви були холодні жахливо світлий зал із чудовим краєвидом атмосфера чудова.,3,2022-06-25,Скадовськ,256,6
91,Вишукана Піцерія,Василина,Могло Бути Краще враження позитивні найкращі роли найкращі роли гарна територія раджу відвідати.,5,2022-02-26,Святогірськ,96,2
92,Райська Бургерна,Борис,Довго Чекали На Замовлення приємні ціни приємні ціни борщ був несмачний борщ був несмачний раджу спробувати напої власного виробництва гарна територія атмосфера чудова.,2,2023-12-02,Олевськ,168,12
93,Затишна Варенична,Мілена,Офіціантка Повільно Обслуговувала борщ був несмачний погане обслуговування рекомендую було смачно принесли холодну каву затишне місце.,5,2022-04-24,Ужгород,134,4
94,Грибова Колиба,Руслан,Погане Обслуговування принесли пересмажений стейк могло бути краще рекомендую.,2,2022-05-10,Сімферополь,78,5
95,Вишукана Піцерія,Богуслава,Гарна Територія раджу спробувати напої власного виробництва кухня на висоті.,1,2022-11-20,Кілія,76,11
96,Чудова Кухня,Лукʼян,Атмосфера Чудова принесли холодну каву рекомендую велика сирна тарілка раджу спробувати напої власного виробництва чистий столик.,2,2023-08-02,Герца,129,8
97,Найкраща Кухня,Олекса,Класне Обслуговування не сподобалось гарна територія велика сирна тарілка.,3,2022-05-21,Соледар,74,5
98,Затишна Варенична,Софія,Борщ Був Несмачний довго чекали на замовлення чистий столик піца смачна принесли пересмажений стейк було смачно.,2,2022-05-11,Верхівцеве,112,5
99,Відома Таверна,Юстим,Не Сподобалось раджу спробувати напої власного виробництва гарна територія приємні ціни піца смачна страви були холодні довго чекали на чек.,1,2022-03-30,Борзна,140,3
100,Райська Кавʼярня,Юстим,Найкращі Роли принесли пересмажений стейк непоганий салат раджу спробувати напої власного виробництва. Класне Обслуговування комфортно могло бути краще. Не Сподобалось найкращі роли раджу спробувати напої власного виробництва чудово. Чудово принесли пересмажений стейк принесли пересмажений стейк раджу відвідати гарна територія принесли пересмажений стейк довго чекали на чек.,5,2022-08-14,Косів,377,8
101,Стильна Кавʼярня,Орест,Раджу Відвідати рекомендую велика сирна тарілка було смачно рекомендую не сподобалось найкращі роли. Борщ Був Несмачний приємні ціни борщ був несмачний атмосфера чудова було смачно офіціантка повільно обслуговувала могло бути краще.,4,2023-08-03,Одеса,232,8
102,Пікантна Насолода,Геннадій,Велика Сирна Тарілка велика сирна тарілка довго чекали на чек довго чекали на замовлення піца смачна борщ був несмачний світлий зал із чудовим краєвидом чудово. Непоганий Салат погане обслуговування велика сирна тарілка світлий зал із чудовим краєвидом погане обслуговування чудово.,4,2022-12-30,Ірміно,282,12
103,Райська Кавʼярня,Болеслав,Погане Обслуговування раджу відвідати світлий зал із чудовим краєвидом рекомендую затишне місце.,2,2024-02-04,Сіверськ,96,2
104,Найкраща Шампанерія,Устим,Атмосфера Чудова жахливо сучасний iнтер`єр атмосфера чудова жахливо жахливо.,2,2023-06-19,Глухів,76,6
105,Пікантна Насолода,Вікторія,Борщ Був Несмачний раджу спробувати напої власного виробництва погане обслуговування офіціантка повільно обслуговувала.,2,2024-01-21,Волочиськ,119,1
106,Райська Кавʼярня,Гліб,Чудово офіціантка повільно обслуговувала погане обслуговування було смачно. Борщ Був Несмачний могло бути краще велике меню. Найкращі Роли приємні ціни класне обслуговування велике меню офіціантка повільно обслуговувала.,3,2022-05-03,Калуш,220,5
107,Найкраща Шампанерія,Артем,Непоганий Салат чудово погане обслуговування довго чекали на чек чистий столик рекомендую чудово офіціантка повільно обслуговувала.,1,2022-11-28,Зборів,131,11
108,Стильна Кавʼярня,Орест,Рекомендую гарна територія світлий зал із чудовим краєвидом піца смачна.,3,2023-02-13,Вінниця,72,2
109,Мʼясна Шашлична,Мартин,Гарна Територія атмосфера чудова атмосфера чудова сучасний iнтер`єр приємні ціни піца смачна.,5,2022-09-14,Радивилів,93,9
110,Відома Таверна,Франц,Атмосфера Чудова довго чекали на замовлення гарна територія принесли холодну каву раджу спробувати напої власного виробництва затишне місце враження позитивні.,3,2022-06-14,П'ятихатки,159,6
111,Пікантна Колиба,Георгій,Світлий Зал Із Чудовим Краєвидом затишне місце світлий зал із чудовим краєвидом велика сирна тарілка.,3,2023-06-17,Бахмут,101,6
112,Пікантна Кухня,Сніжана,Раджу Спробувати Напої Власного Виробництва велике меню велике меню могло бути краще погане обслуговування. Принесли Холодну Каву довго чекали на чек раджу відвідати велике меню страви були холодні затишне місце.,2,2023-11-27,Сторожинець,212,11
113,Стильна Кавʼярня,Ярослав,Офіціантка Повільно Обслуговувала непоганий салат піца смачна могло бути краще класне обслуговування офіціантка повільно обслуговувала.,3,2023-09-25,Костянтинівка,135,9
114,Райська Бургерна,Марія,Затишне Місце раджу спробувати напої власного виробництва враження позитивні раджу відвідати враження позитивні було смачно. Гарна Територія сучасний iнтер`єр велика сирна тарілка кухня на висоті враження позитивні.,3,2023-08-02,Іловайськ,215,8
115,Пікантна Колиба,Вікторія,Найкращі Роли було смачно класне обслуговування комфортно найкращі роли. Велика Сирна Тарілка не сподобалось приємні ціни рекомендую.,5,2022-04-03,Кривий Ріг,133,4
116,Вишукана Забігайлівка,Олег,Довго Чекали На Чек затишне місце страви були холодні чистий столик раджу відвідати погане обслуговування.,5,2022-08-06,Іллінці,106,8
117,Стильна Канапка,Варфоломій,Раджу Спробувати Напої Власного Виробництва не сподобалось страви були холодні чудово могло бути краще.,4,2022-04-17,Снятин,103,4
